,x,y,sigma,num_iteration,topographic_error,quantization_error,elapsed_seconds,seconds_per_iteration
0,3,6,1.5,100000,0.05489390828199863,122.98527496644697,131.90361715573817,0.0013190361715573818
1,6,3,1.5,100000,0.05489390828199863,122.98527496644697,131.74714097660035,0.0013174714097660034
2,3,6,1.5,50000,0.05516769336071184,122.81596152480101,73.20289648789912,0.0014640579297579826
3,6,3,1.5,50000,0.05516769336071184,122.81596152480101,71.830575408414,0.0014366115081682802
4,3,3,1.5,10000,0.056673511293634495,127.2693541673405,17.449067804031074,0.0017449067804031074
5,3,6,1.5,25000,0.06680355920602327,122.82700606394664,41.38255405239761,0.0016553021620959044
6,6,3,1.5,25000,0.06680355920602327,122.82700606394664,41.073586757294834,0.0016429434702917934
7,3,3,1.0,25000,0.07405886379192334,127.85512390429903,26.411920844577253,0.00105647683378309
8,3,7,1.5,10000,0.07460643394934977,121.99181853285683,27.30040243268013,0.002730040243268013
9,7,3,1.5,10000,0.07460643394934977,121.99181853285683,25.836825330741704,0.00258368253307417
10,3,5,1.5,100000,0.07529089664613278,124.22963159919398,114.58733895141631,0.001145873389514163
11,5,3,1.5,100000,0.07529089664613278,124.22963159919398,113.01952727511525,0.0011301952727511525
12,4,4,1.5,25000,0.08172484599589322,123.54652240279671,38.13318695034832,0.0015253274780139326
13,3,5,1.5,50000,0.08254620123203285,123.87982043358714,62.43633813317865,0.001248726762663573
14,5,3,1.5,50000,0.08254620123203285,123.87982043358714,62.7982924412936,0.001255965848825872
15,3,4,1.5,10000,0.08281998631074607,126.04244636749611,19.36175715085119,0.001936175715085119
16,4,3,1.5,10000,0.08281998631074607,126.04244636749611,19.117225584574044,0.0019117225584574045
17,3,6,1.5,10000,0.09130732375085558,122.56871261308,23.3433794695884,0.00233433794695884
18,6,3,1.5,10000,0.09130732375085558,122.56871261308,23.516568392515182,0.0023516568392515183
19,3,4,1.5,25000,0.09144421629021218,125.2937955913336,31.558132932521403,0.001262325317300856
20,4,3,1.5,25000,0.09144421629021218,125.2937955913336,31.33731435239315,0.001253492574095726
21,3,7,1.5,25000,0.09623545516769336,121.86496399608407,46.1467557894066,0.001845870231576264
22,7,3,1.5,25000,0.09623545516769336,121.86496399608407,45.8070966321975,0.0018322838652879
23,3,8,1.5,100000,0.0976043805612594,121.97933400657139,180.5313494130969,0.001805313494130969
24,8,3,1.5,100000,0.0976043805612594,121.97933400657139,172.70456579420716,0.0017270456579420715
25,3,8,1.5,10000,0.09965776865160848,121.46695714172776,27.84249175246805,0.002784249175246805
26,8,3,1.5,10000,0.09965776865160848,121.46695714172776,27.39000440388918,0.0027390004403889177
27,7,4,1.5,10000,0.0999315537303217,120.99174400046215,30.69268397334963,0.003069268397334963
28,3,7,1.5,50000,0.0999315537303217,121.83735094488365,82.00507573690265,0.001640101514738053
29,7,3,1.5,50000,0.0999315537303217,121.83735094488365,82.26224569790065,0.0016452449139580131
30,3,5,1.5,10000,0.11676933607118412,123.7525700453629,21.292451803572476,0.0021292451803572475
31,5,3,1.5,10000,0.11676933607118412,123.7525700453629,21.035436734557152,0.002103543673455715
32,4,6,1.5,50000,0.11786447638603696,121.55961588238812,94.07076714094728,0.0018814153428189458
33,6,4,1.5,50000,0.11786447638603696,121.55961588238812,95.99251276813447,0.0019198502553626894
